"filename", "language", "JavaScript", "comment", "blank", "total"
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\auth\components\SignUp.js", "JavaScript", 5, 1, 1, 7
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\auth\context\AuthContext.js", "JavaScript", 16, 2, 3, 21
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\auth\services\authService.js", "JavaScript", 27, 0, 7, 34
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\auth\utils\api.js", "JavaScript", 42, 5, 7, 54
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\Auth\AdminRoute.js", "JavaScript", 18, 0, 6, 24
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\Blog\Blog.js", "JavaScript", 121, -4, 6, 123
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\Blog\BlogEditor.js", "JavaScript", 302, 2, 19, 323
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\Blog\BlogPost.js", "JavaScript", 332, 0, 26, 358
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\Blog\blogService.js", "JavaScript", 49, 5, 7, 61
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\CommonComponents\SkillProgressbar.js", "JavaScript", 21, 1, 1, 23
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\Navbar.js", "JavaScript", 205, 0, 15, 220
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\ProtectedRoute.js", "JavaScript", 20, 1, 6, 27
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\Router\ProtectedRoute.js", "JavaScript", 18, 0, 6, 24
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\Router\router.js", "JavaScript", 19, 0, 0, 19
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\Spinner.js", "JavaScript", 13, 0, 3, 16
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\Testimonials\TestimonialAdminDashboard.js", "JavaScript", 211, 7, 19, 237
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\Testimonials\TestimonialCard.js", "JavaScript", 149, 14, 16, 179
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\Testimonials\TestimonialForm.js", "JavaScript", 293, 6, 30, 329
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\Testimonials\TestimonialsPage.js", "JavaScript", 238, 14, 27, 279
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\common\Pagination.js", "JavaScript", 68, 0, 12, 80
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\config.js", "JavaScript", 1, 0, 1, 2
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\firebase\config.js", "JavaScript", 22, 3, 5, 30
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\pages\Blog.js", "JavaScript", 230, 1, 16, 247
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\pages\Login.js", "JavaScript", 123, 1, 10, 134
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\pages\TestimonialsPage.js", "JavaScript", -871, -11, -20, -902
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\services\api.js", "JavaScript", 45, 6, 10, 61
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\services\blogService.js", "JavaScript", 132, 10, 16, 158
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\services\testimonialService.js", "JavaScript", 130, 8, 11, 149
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\socketIo\components\ChatWindow.js", "JavaScript", -57, -2, -3, -62
"Total", "-", 1922, 70, 263, 2255
